weekday,Age,Gender,Alcohol_Results,Drug_Involvement,Atmospheric_Condition,Roadway,Fatality
6,18,1,,2,0,0,0
2,54,1,,0,3,0,0
7,29,0,0.21,2,2,1,1
5,55,0,,2,0,2,0
2,54,0,0.34,,0,3,1
6,29,1,,2,0,3,0
5,22,0,,2,0,4,0
6,24,0,0.0,2,2,2,0
7,21,1,,0,0,2,0
7,29,0,0.1,,2,5,0
6,48,0,0.16,2,0,6,0
3,65,0,,2,2,2,0
4,,0,,2,0,5,0
4,57,0,,2,0,1,1
7,50,0,0.17,,0,5,1
5,53,1,0.0,2,0,6,1
7,26,1,,2,0,8,1
5,16,0,0.0,0,0,3,0
6,,0,,2,0,7,0
7,30,0,,2,0,9,0
6,31,0,,2,0,9,0
5,36,0,,0,0,5,0
5,40,0,0.0,0,0,3,0
5,55,0,,0,0,9,0
7,,1,,2,0,10,0
5,30,0,0.17,2,0,3,1
2,28,0,0.09,2,0,9,0
2,42,0,0.19,0,0,5,1
5,24,1,,2,4,0,0
3,24,0,,2,0,3,0
1,67,1,,2,1,2,0
3,56,1,0.24,,0,7,1
3,20,0,,2,2,11,0
1,69,1,,2,0,2,1
2,25,0,,2,0,4,0
3,23,0,,0,3,6,0
1,28,0,,,0,9,0
2,29,1,0.0,2,2,5,0
7,45,0,,0,2,9,0
5,,0,,2,0,7,0
3,16,1,0.16,2,0,10,1
2,50,0,,2,0,4,0
5,22,0,,2,0,7,0
7,27,0,,0,0,12,0
2,55,0,0.0,0,0,2,0
3,17,1,,2,0,4,0
6,36,0,,2,0,11,0
6,21,1,,0,0,3,1
4,75,0,,0,0,8,0
7,,0,,2,0,9,0
2,41,1,,2,0,6,0
3,47,0,,2,0,8,0
2,21,0,,2,0,5,0
2,32,1,,2,0,7,0
6,43,1,0.0,,0,6,1
6,21,0,0.0,0,0,6,1
4,16,0,,2,0,5,1
6,30,0,,2,0,3,0
7,52,0,0.15,,0,8,0
7,,,,2,0,12,0
7,17,1,,2,0,5,0
6,28,0,0.08,2,2,7,0
1,,0,,0,0,8,0
7,23,0,0.13,,0,5,0
3,56,0,0.0,,0,6,1
1,66,0,,2,3,11,0
1,40,1,,2,0,4,0
1,68,1,,0,0,0,0
6,51,0,,2,0,5,0
5,25,0,0.0,2,0,8,1
7,23,1,,,0,6,0
5,73,0,,0,0,7,0
4,52,0,0.0,0,0,8,0
3,37,0,,2,2,1,0
2,59,1,,2,0,3,0
1,72,0,0.0,0,3,1,1
7,62,0,0.26,2,0,8,1
5,18,1,0.0,,3,4,1
3,56,0,,,0,8,1
5,33,0,,2,0,11,0
6,33,1,0.0,2,0,12,0
6,22,1,,2,0,7,0
6,18,0,,2,0,4,0
7,21,0,0.06,,0,1,1
3,18,1,,2,0,6,0
4,24,0,,2,0,7,0
6,23,0,0.16,0,2,3,1
6,46,1,0.14,2,0,6,0
7,61,0,0.0,0,0,12,1
5,37,0,,2,0,3,0
1,69,0,0.0,0,0,7,0
4,23,1,,0,0,7,0
3,34,0,0.0,0,0,7,0
1,61,1,0.0,0,0,3,1
7,45,0,0.0,,0,6,1
6,23,1,,2,0,6,1
6,39,0,0.1,2,0,8,1
7,25,0,,2,0,3,0
2,16,0,0.0,0,0,5,0
2,49,0,0.0,2,2,9,0
2,79,0,,0,0,5,0
1,47,0,0.05,2,0,8,1
2,,0,,2,0,0,0
2,82,1,,2,0,8,1
7,,0,,2,2,9,0
1,91,1,0.0,,2,2,1
3,17,0,0.0,0,0,9,0
3,75,1,0.0,2,2,3,1
3,23,1,,2,0,6,0
5,,0,,2,0,2,0
5,33,0,0.16,0,2,5,1
1,41,1,,0,0,6,0
6,47,1,,2,0,7,0
4,22,0,0.0,0,2,5,1
7,16,1,,2,0,12,0
6,27,0,,0,0,6,0
6,50,1,0.33,,0,12,1
5,21,0,,2,0,11,0
6,50,1,,2,0,7,0
5,27,1,,0,3,7,0
5,22,0,,2,0,2,0
